gamecode_full,gamecode_num,date,group,round,home_team_code,away_team_code,home_score,away_score,season_code
E2025_177,177,2025-12-23T00:00:00+00:00,Regular Season,RS,DUB,MIL,99,92,E2025
E2025_178,178,2025-12-26T00:00:00+00:00,Regular Season,RS,MCO,MAD,100,95,E2025
E2025_179,179,2025-12-26T00:00:00+00:00,Regular Season,RS,PAR,TEL,87,112,E2025
E2025_180,180,2025-12-26T00:00:00+00:00,Regular Season,RS,VIR,OLY,94,97,E2025
E2025_181,181,2025-12-30T00:00:00+00:00,Regular Season,RS,BAR,MCO,74,90,E2025
E2025_182,182,2025-12-30T00:00:00+00:00,Regular Season,RS,HTA,ZAL,80,93,E2025
E2025_183,183,2025-12-30T00:00:00+00:00,Regular Season,RS,ASV,PRS,94,89,E2025
E2025_184,184,2025-12-30T00:00:00+00:00,Regular Season,RS,PAM,PAR,86,73,E2025
E2025_185,185,2026-01-02T00:00:00+00:00,Regular Season,RS,IST,RED,65,87,E2025
E2025_186,186,2026-01-02T00:00:00+00:00,Regular Season,RS,BAS,ULK,93,108,E2025
E2025_187,187,2026-01-02T00:00:00+00:00,Regular Season,RS,MUN,TEL,95,71,E2025
E2025_188,188,2026-01-02T00:00:00+00:00,Regular Season,RS,PAN,OLY,82,87,E2025
E2025_189,189,2026-01-02T00:00:00+00:00,Regular Season,RS,MAD,DUB,107,93,E2025
E2025_190,190,2026-01-02T00:00:00+00:00,Regular Season,RS,VIR,MIL,97,85,E2025
E2025_191,191,2026-01-06T00:00:00+00:00,Regular Season,RS,MCO,PAR,101,84,E2025
E2025_192,192,2026-01-06T00:00:00+00:00,Regular Season,RS,RED,PAM,89,106,E2025
E2025_193,193,2026-01-06T00:00:00+00:00,Regular Season,RS,BAR,TEL,93,83,E2025
E2025_194,194,2026-01-06T00:00:00+00:00,Regular Season,RS,ULK,OLY,88,80,E2025
E2025_195,195,2026-01-06T00:00:00+00:00,Regular Season,RS,HTA,DUB,85,60,E2025
E2025_196,196,2026-01-06T00:00:00+00:00,Regular Season,RS,ASV,MAD,69,80,E2025
E2025_197,197,2026-01-06T00:00:00+00:00,Regular Season,RS,PAN,MIL,74,87,E2025
E2025_198,198,2026-01-06T00:00:00+00:00,Regular Season,RS,VIR,ZAL,83,79,E2025
E2025_199,199,2026-01-07T00:00:00+00:00,Regular Season,RS,IST,PRS,79,84,E2025
E2025_200,200,2026-01-07T00:00:00+00:00,Regular Season,RS,MUN,BAS,96,89,E2025
E2025_201,201,2026-01-08T00:00:00+00:00,Regular Season,RS,DUB,ULK,92,81,E2025
E2025_202,202,2026-01-08T00:00:00+00:00,Regular Season,RS,MAD,TEL,98,86,E2025
E2025_203,203,2026-01-08T00:00:00+00:00,Regular Season,RS,PAM,MCO,92,101,E2025
E2025_204,204,2026-01-08T00:00:00+00:00,Regular Season,RS,PAN,VIR,84,71,E2025
E2025_206,206,2026-01-09T00:00:00+00:00,Regular Season,RS,BAS,ASV,78,73,E2025
E2025_207,207,2026-01-09T00:00:00+00:00,Regular Season,RS,MIL,IST,87,74,E2025
E2025_208,208,2026-01-09T00:00:00+00:00,Regular Season,RS,BAR,PAR,88,70,E2025
E2025_209,209,2026-01-09T00:00:00+00:00,Regular Season,RS,OLY,MUN,95,80,E2025
E2025_210,210,2026-01-09T00:00:00+00:00,Regular Season,RS,ZAL,RED,99,67,E2025
E2025_219,219,2026-01-14T00:00:00+00:00,Regular Season,RS,PAR,OLY,66,104,E2025
E2025_211,211,2026-01-15T00:00:00+00:00,Regular Season,RS,IST,BAS,75,89,E2025
E2025_212,212,2026-01-15T00:00:00+00:00,Regular Season,RS,MUN,PAN,85,78,E2025
E2025_213,213,2026-01-15T00:00:00+00:00,Regular Season,RS,TEL,ZAL,100,97,E2025
E2025_214,214,2026-01-15T00:00:00+00:00,Regular Season,RS,PRS,MCO,87,95,E2025
E2025_215,215,2026-01-15T00:00:00+00:00,Regular Season,RS,DUB,VIR,72,80,E2025
E2025_216,216,2026-01-15T00:00:00+00:00,Regular Season,RS,MIL,RED,96,104,E2025
E2025_217,217,2026-01-16T00:00:00+00:00,Regular Season,RS,ULK,PAM,82,79,E2025
E2025_218,218,2026-01-16T00:00:00+00:00,Regular Season,RS,ASV,HTA,73,81,E2025
E2025_220,220,2026-01-16T00:00:00+00:00,Regular Season,RS,MAD,BAR,80,61,E2025
E2025_221,221,2026-01-20T00:00:00+00:00,Regular Season,RS,MCO,RED,96,100,E2025
E2025_222,222,2026-01-20T00:00:00+00:00,Regular Season,RS,BAR,DUB,91,89,E2025
E2025_223,223,2026-01-20T00:00:00+00:00,Regular Season,RS,HTA,IST,71,66,E2025
E2025_224,224,2026-01-20T00:00:00+00:00,Regular Season,RS,OLY,TEL,100,93,E2025
